trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.9791071428571428, 'e': 0.8183201210226743}",20,0,-63.57293940799412,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.9785714285714285, 'e': 0.8142285204175609}",25,13,-34.46192119368701,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.9780357142857143, 'e': 0.810157377815473}",25,0,-34.68085983714596,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.9775, 'e': 0.8061065909263957}",30,0,-88.94924702461158,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
44,False,"{'a': 0.9769642857142857, 'e': 0.8020760579717637}",30,0,-144.19887579414197,"{0: 17, 1: 1, 2: 8, 3: 4, 4: 0}",0
45,False,"{'a': 0.9764285714285714, 'e': 0.7980656776819048}",20,0,-27.585955786460744,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
46,False,"{'a': 0.9758928571428571, 'e': 0.7940753492934953}",30,20,-41.37667680215271,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.9753571428571428, 'e': 0.7901049725470278}",25,0,-44.055976668622286,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.9748214285714286, 'e': 0.7861544476842928}",20,0,-232.0147793081282,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 5}",0
49,False,"{'a': 0.9742857142857143, 'e': 0.7822236754458712}",20,0,-42.90841144426576,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.97375, 'e': 0.7783125570686419}",25,0,-70.20030143355706,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
51,False,"{'a': 0.9732142857142857, 'e': 0.7744209942832987}",30,13,-51.893879764596754,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.9726785714285714, 'e': 0.7705488893118821}",20,0,-7.081430194103938,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.9721428571428572, 'e': 0.7666961448653228}",20,0,-50.65450733421277,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
54,False,"{'a': 0.9716071428571429, 'e': 0.7628626641409961}",25,0,-38.324054064977595,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.9710714285714286, 'e': 0.7590483508202912}",20,5,-60.63092417990462,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
56,False,"{'a': 0.9705357142857143, 'e': 0.7552531090661897}",20,0,-67.0372057900686,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
57,False,"{'a': 0.97, 'e': 0.7514768435208588}",30,1,-115.00559813353256,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 1}",1
58,False,"{'a': 0.9694642857142857, 'e': 0.7477194593032545}",30,1,-77.31592506052873,"{0: 23, 1: 3, 2: 0, 3: 1, 4: 2}",1
59,False,"{'a': 0.9689285714285715, 'e': 0.7439808620067382}",25,0,-178.01970784804308,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
60,False,"{'a': 0.9683928571428572, 'e': 0.7402609576967045}",35,9,-3.12102895043979,"{0: 21, 1: 4, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.9678571428571429, 'e': 0.736559652908221}",20,0,-37.36851172030899,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.9673214285714286, 'e': 0.7328768546436799}",20,0,-46.06550855865456,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
63,False,"{'a': 0.9667857142857142, 'e': 0.7292124703704614}",20,0,7.229360378712395,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.96625, 'e': 0.7255664080186092}",20,0,-133.00139574557622,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
65,False,"{'a': 0.9657142857142857, 'e': 0.7219385759785161}",25,0,-86.7283563057791,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
